nomePesquisado,nomeEncontrado,nomeAceito,baseDados,familia,pais,ano,mes,lat,long,coordMun
Eichhornia azurea,Eichhornia azurea Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2011,05,-3.000028,-41.321028,
Eichhornia azurea,Eichhornia azurea Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2010,09,-2.929944,-41.767483,
Eichhornia azurea,Eichhornia azurea Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2008,06,,,
Eichhornia azurea,Eichhornia azurea Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2008,11,-2.90472006797791,-41.7766990661621,
Eichhornia azurea,Eichhornia azurea Sw.,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2017,06,-14.776317,-57.313883,
Eichhornia azurea,Eichhornia azurea Sw.,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2012,03,-14.802778,-60.026667,
Eichhornia azurea,Eichhornia azurea Sw.,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2012,02,-14.808889,-60.027778,
Eichhornia azurea,Eichhornia azurea Sw.,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2012,06,-14.914003,-59.979019,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,1994,03,-25.5930995941162,-49.4103012084961,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,1993,08,-25.5200004577637,-48.5092010498047,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,,,-10.660608,-55.195312,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Surinam,,,4.127285,-55.92041,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Surinam,,,4.127285,-55.92041,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Surinam,,,4.127285,-55.92041,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Surinam,1837,11,5.865696,-55.166473,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Surinam,,,4.127285,-55.92041,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Surinam,,,4.127285,-55.92041,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1968,04,-24.766785,-52.163086,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1980,07,-27.945886,-58.801575,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1935,11,-3.889431,-38.68166,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Paraguay,,,-25.405601,-57.282887,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1909,09,-9.96344,-67.802124,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Uruguay,1878,11,-32.805745,-56.030273,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Guyana,1995,07,3.75,-59.3,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Guyana,1995,07,3.75,-59.3,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1967,01,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1961,07,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Paraguay,1909,02,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1962,08,1.75,-50.966667,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1934,11,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1957,12,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1968,08,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brazil,1974,02,-10.666667,-39.716667,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Colombia,1973,07,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1990,03,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1989,02,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1978,11,,,
Eichhornia azurea,Eichhornia azurea (SW.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,2010,10,-4.75639009475708,-42.5755996704102,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,1945,01,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,1948,12,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Brasil,1948,12,,,
